,Unnamed: 0,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,0,Baden-Württemberg,1.105,1.062 (3),,2020-03-16 21:00:00,3
1,1,Bayern,1.067,965 (4),,2020-03-16 21:00:00,5
2,2,Berlin,300,300,,2020-03-16 21:00:00,
3,3,Brandenburg,94,65,,2020-03-16 21:00:00,
4,4,Bremen,56,56,,2020-03-16 21:00:00,
5,5,Hamburg,260,255,,2020-03-16 21:00:00,
6,6,Hessen,342,241,,2020-03-16 21:00:00,
7,7,Mecklenburg-Vorpommern,51,36,,2020-03-16 21:00:00,
8,8,Niedersachsen,391,272,,2020-03-16 21:00:00,
9,9,Nordrhein-Westfalen,1.541,1.541 (5),Landkreis Heinsberg,2020-03-16 21:00:00,5
10,10,Rheinland-Pfalz,325,325,,2020-03-16 21:00:00,
11,11,Saarland,85,32,,2020-03-16 21:00:00,
12,12,Sachsen,140,103,,2020-03-16 21:00:00,
13,13,Sachsen-Anhalt,77,40,,2020-03-16 21:00:00,
14,14,Schleswig-Holstein,123,104,,2020-03-16 21:00:00,
15,15,Thüringen,55,36,,2020-03-16 21:00:00,
16,16,Gesamt,6.012,5.433 (12),,2020-03-16 21:00:00,13
